YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,ALLSKY_KT,PRECTOTCORR,SZA
2019,1,9,6,0.0,5.62,67.11,99.27,3.62,-999.0,0.0,90.0
2019,1,9,7,84.9,7.46,59.62,99.34,4.73,0.42,0.0,81.65
2019,1,9,8,246.85,10.12,51.5,99.4,4.21,0.54,0.0,71.16
2019,1,9,9,417.62,14.06,42.8,99.43,3.67,0.63,0.0,61.92
2019,1,9,10,547.67,19.28,30.7,99.38,6.54,0.68,0.0,54.95
2019,1,9,11,595.47,21.08,26.87,99.29,6.56,0.68,0.0,51.22
2019,1,9,12,596.88,22.05,25.36,99.22,6.44,0.68,0.0,51.42
2019,1,9,13,528.62,22.5,24.96,99.16,6.38,0.66,0.0,55.52
2019,1,9,14,401.33,22.1,25.62,99.13,6.17,0.62,0.0,62.75
2019,1,9,15,232.9,20.81,28.82,99.12,5.0,0.54,0.0,72.17
2019,1,9,16,66.3,16.36,43.12,99.15,3.16,0.39,0.0,82.97
2019,1,9,17,0.0,13.18,49.51,99.18,3.55,-999.0,0.0,90.0
2019,1,9,18,0.0,12.15,51.2,99.22,3.57,-999.0,0.0,90.0
2019,1,9,19,0.0,11.22,52.8,99.26,3.55,-999.0,0.0,90.0
2019,1,9,20,0.0,10.39,54.43,99.29,3.55,-999.0,0.0,90.0
2019,1,9,21,0.0,9.62,56.12,99.29,3.5,-999.0,0.0,90.0
2019,1,9,22,0.0,8.86,58.08,99.28,3.42,-999.0,0.0,90.0
2019,1,9,23,0.0,8.2,59.86,99.26,3.37,-999.0,0.0,90.0
2019,1,10,0,0.0,7.68,61.42,99.28,3.38,-999.0,0.0,90.0
2019,1,10,1,0.0,7.26,62.75,99.28,3.46,-999.0,0.0,90.0
2019,1,10,2,0.0,6.8,64.27,99.27,3.45,-999.0,0.0,90.0
2019,1,10,3,0.0,6.18,66.53,99.21,3.33,-999.0,0.0,90.0
2019,1,10,4,0.0,5.61,68.67,99.19,3.25,-999.0,0.0,90.0
2019,1,10,5,0.0,5.08,70.72,99.21,3.17,-999.0,0.0,90.0
2019,1,10,6,0.0,4.76,71.82,99.28,3.27,-999.0,0.0,90.0
2019,1,10,7,83.8,6.96,62.03,99.36,4.33,0.41,0.0,81.65
2019,1,10,8,241.73,9.62,53.0,99.42,3.69,0.53,0.0,71.13
2019,1,10,9,381.73,13.62,42.63,99.45,3.07,0.58,0.0,61.86
2019,1,10,10,516.55,18.42,30.38,99.4,4.77,0.64,0.0,54.86
2019,1,10,11,576.5,20.45,26.22,99.32,4.69,0.65,0.0,51.09
2019,1,10,12,581.4,21.33,24.31,99.21,4.22,0.66,0.0,51.26
2019,1,10,13,507.4,21.69,23.03,99.12,3.95,0.63,0.0,55.35
2019,1,10,14,378.9,21.45,22.74,99.07,3.53,0.58,0.0,62.58
2019,1,10,15,219.35,20.14,28.81,99.05,2.27,0.5,0.0,72.01
2019,1,10,16,64.45,17.0,40.38,99.06,1.75,0.37,0.0,82.79
2019,1,10,17,0.0,15.51,34.72,99.1,1.54,-999.0,0.0,90.0
2019,1,10,18,0.0,15.58,32.79,99.16,1.17,-999.0,0.0,90.0
